Kappa,Melting time
0.001,0.0026763635164070545
0.0013257113655901094,0.003540548466130067
0.001757510624854791,0.004693838066815239
0.0023299518105153716,0.006207190087595906
0.0030888435964774815,0.008195340467297165
0.004094915062380427,0.010836272909462675
0.005428675439323859,0.014288071478352564
0.0071968567300115215,0.01878380295599575
0.009540954763499943,0.02470523644146505
0.012648552168552958,0.03233317205783728
0.016768329368110083,0.04220529443625588
0.022229964825261947,0.054834796655380914
0.029470517025518096,0.07084384397281512
0.03906939937054617,0.09074061695165365
0.0517947467923121,0.11542274456921027
0.06866488450043003,0.14476480988972693
0.09102981779915219,0.17920081548025996
0.1206792640639329,0.2185958885558067
0.15998587196060574,0.26220675789572245
0.21209508879201902,0.3084820779778022
0.2811768697974231,0.35601792093192264
0.3727593720314938,0.4024365612314661
0.49417133613238334,0.4455729004560709
0.6551285568595508,0.48633347260850995
0.868511373751352,0.5209502162054424
1.1513953993264467,0.5523772542951368
1.5264179671752334,0.5767683159822019
2.0235896477251574,0.59792064325028
2.6826957952797246,0.6138721868414264
3.5564803062231283,0.6267348815857616
4.714866363457394,0.6380587746797377
6.250551925273969,0.6456910523863236
8.286427728546842,0.6526190524741292
10.985411419875572,0.6572555347013488
14.563484775012444,0.6596677539213347
19.306977288832496,0.6622108663072657
25.59547922699533,0.6647008920734969
33.9322177189533,0.6668756498580981
44.984326689694434,0.6680666859724852
59.636233165946365,0.6690762956432259
79.06043210907701,0.6702060801024494
104.81131341546852,0.6707007257530923
138.94954943731358,0.671124823723693
184.20699693267164,0.6714804855828167
244.20530945486496,0.6713136429636103
323.745754281764,0.6713398063492154
429.1934260128778,0.6704397262470574
568.9866029018293,0.6704747368219489
754.3120063354608,0.671194615871164
1000.0,0.6720928830222076
